Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C109",603,5,0.1uF,
C105,603,1,4.7uF,
"C106, C107",603,2,22pF,
C108,603,1,1uF,
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128",603,28,D,
"D129, D130",603,2,GREEN,
J101,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_2.0,
"R101, R102",603,2,10k,
"R103, R107",603,2,1k,
"R104, R105",603,2,5.1k,
"R106, R108",603,2,22,
U101,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4,
Y101,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,16 MHz,
